NVDA,TSLA,AAPL,AMD,GOOGL
0.27587,1.96,17.26,5.76,13.97
0.28183,1.99,17.34,5.87,14.11
0.28435,2.12,17.69,5.93,14.27
0.3035,2.14,17.74,5.81,14.54
0.30843,2.25,17.69,6.06,14.44
0.29433,2.15,17.44,5.72,14.13
0.298,2.25,17.58,5.73,14.28
0.28871,2.21,17.23,5.41,14.02
0.29192,2.11,17.27,5.44,14.11
0.30132,2.13,17.35,5.5,14.23
0.30362,2.09,17.18,5.41,14.11
0.31692,2.09,17.63,5.73,14.5
0.30832,2.03,17.89,5.75,14.51
0.31646,2.04,18.1,6.03,14.69
0.31325,2.08,18.42,5.88,14.9
0.30728,2.07,18.29,5.75,14.65
0.30316,2.1,18.54,5.62,14.65
0.29398,2.08,18.36,4.99,14.54
0.28917,2.1,18.25,4.89,14.28
0.28435,2.18,18.08,4.88,14.26
0.28791,2.28,18.27,4.9,14.41
0.28882,2.4,18.33,4.83,14.37
0.28366,2.22,18.33,4.87,14.42
0.29949,2.14,18.31,4.89,14.52
0.30235,2.15,18.55,4.86,14.82
0.29364,2.12,18.25,4.22,15.27
0.29765,2.04,18.23,4.15,15.39
0.29444,1.99,18.14,4.06,15.19
0.30018,1.93,17.36,4.01,15.2
0.30155,1.88,17.36,4.04,15.33
0.309,1.97,17.67,4.09,15.87
0.30568,1.82,17.97,4.1,15.8
0.3105,1.83,18.44,4.06,15.82
0.30706,1.75,18.32,4.05,15.81
0.3082,1.74,18.35,3.97,15.72
0.31462,1.82,18.59,4.09,16.03
0.32127,1.88,18.8,4.01,16.07
0.32448,2.02,18.75,4.02,16.01
0.32632,1.94,18.72,4.4,16.05
0.33733,1.96,18.82,4.37,16.06
0.33528,2.0,18.85,4.34,16.05
0.33962,2.08,19.1,4.26,16.5
0.33457,1.96,19.16,4.12,16.71
0.33205,1.96,19.13,4.19,16.69
0.33893,2.02,19.3,4.17,16.82
0.33595,2.0,19.65,4.1,16.93
0.33595,1.97,20.17,4.09,16.89
0.33503,1.94,19.89,4.07,16.73
0.33572,2.0,20.28,4.01,16.93
0.32804,2.05,20.09,3.9,16.92
0.3348,1.97,20.11,3.94,16.96
0.32907,1.89,20.49,3.85,16.73
0.32769,1.91,20.46,3.79,16.93
0.32838,1.89,20.42,3.77,17.2
0.32219,1.89,20.13,3.7,17.04
0.32173,1.9,20.17,3.72,17.12
0.30442,1.88,20.47,3.64,17.02
0.30545,1.86,20.32,3.51,17.01
0.31485,1.9,20.51,3.66,17.48
0.30728,1.96,20.63,3.45,17.65
0.30453,1.82,20.1,3.47,17.52
0.3082,1.85,20.03,3.75,17.3
0.31164,1.89,20.31,3.89,17.27
0.31359,1.97,20.71,3.92,17.65
0.31737,2.03,20.96,3.9,17.74
0.30866,2.17,21.22,4.01,17.75
0.31072,2.09,21.28,3.62,17.95
0.31439,2.07,21.29,3.66,18.18
0.3121,2.06,21.19,3.59,18.2
0.31336,2.0,21.23,3.6,18.35
0.31325,2.04,20.95,3.46,18.73
0.30751,1.84,20.42,3.28,18.73
0.30224,1.84,20.17,3.32,18.83
0.30442,1.9,20.66,3.43,18.91
0.30591,1.95,20.23,3.37,18.86
0.30075,1.94,20.0,3.28,19.04
0.30201,1.99,20.05,3.27,18.92
0.29891,1.95,20.36,3.12,19.06
0.31233,1.96,20.22,3.22,19.2
0.30499,1.93,19.79,3.22,19.19
0.30201,1.95,19.35,3.19,18.94
0.29559,1.89,19.28,3.25,18.6
